"id","case_number","date","block","iucr","primary_type","description","location_description","arrest","domestic","beat","district","ward","community_area","fbi_code","x_coordinate","y_coordinate","year","updated_on","latitude","longitude","location"
"13446369","JH245757","2024-04-30T22:30:00.000","048XX S DREXEL BLVD","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","0223","002","4","39","07","1183003","1873107","2024","2024-05-08T15:41:27.000","41.807007819","-87.604321257","
,  
(41.807007819, -87.604321257)"
"13445836","JH245394","2024-04-30T22:30:00.000","002XX S STATE ST","1478","CONCEALED CARRY LICENSE VIOLATION","PROHIBITED PLACES","CTA PLATFORM","true","false","0113","001","34","32","15","1176417","1899156","2024","2024-05-08T15:41:27.000","41.878638996","-87.627691486","
,  
(41.878638996, -87.627691486)"
"13446003","JH245622","2024-04-30T22:30:00.000","064XX S STONY ISLAND AVE","0820","THEFT","$500 AND UNDER","PARK PROPERTY","false","false","0331","003","5","42","06","1187979","1862696","2024","2024-05-08T15:41:27.000","41.778321993","-87.586402872","
,  
(41.778321993, -87.586402872)"
"13445906","JH245437","2024-04-30T22:30:00.000","061XX S SACRAMENTO AVE","0810","THEFT","OVER $500","APARTMENT","false","true","0823","008","15","66","06","1157433","1863868","2024","2024-05-08T15:41:27.000","41.782211626","-87.698354554","
,  
(41.782211626, -87.698354554)"
"13447966","JH246974","2024-04-30T22:16:00.000","019XX W NORTH AVE","1150","DECEPTIVE PRACTICE","CREDIT CARD FRAUD","BAR OR TAVERN","false","false","1434","014","32","24","11","1162962","1910659","2024","2024-05-08T15:41:27.000","41.910497067","-87.676772114","
,  
(41.910497067, -87.676772114)"
"13445946","JH245407","2024-04-30T22:14:00.000","037XX N PINE GROVE AVE","1581","SEX OFFENSE","NON-CONSENSUAL DISSEMINATION OF PRIVATE SEXUAL IMAGES","APARTMENT","false","false","1925","019","46","6","17","1170949","1925234","2024","2024-05-08T15:41:27.000","41.950320001","-87.647002452","
,  
(41.950320001, -87.647002452)"
"13445795","JH245390","2024-04-30T22:13:00.000","091XX S BURLEY AVE","141B","WEAPONS VIOLATION","UNLAWFUL USE - OTHER FIREARM","ALLEY","false","false","0424","004","10","46","15","1199262","1844929","2024","2024-05-08T15:41:27.000","41.729291789","-87.545636086","
,  
(41.729291789, -87.545636086)"
"13445816","JH245388","2024-04-30T22:09:00.000","024XX W CULLOM AVE","0460","BATTERY","SIMPLE","RESIDENCE - PORCH / HALLWAY","false","false","1911","019","47","5","08B","1159059","1928479","2024","2024-05-08T15:41:27.000","41.959477421","-87.690619501","
,  
(41.959477421, -87.690619501)"
"13445833","JH245425","2024-04-30T22:00:00.000","059XX N SACRAMENTO AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","2011","020","50","2","07","1155282","1939315","2024","2024-05-08T15:41:27.000","41.989288897","-87.704212877","
,  
(41.989288897, -87.704212877)"
"13447277","JH247279","2024-04-30T22:00:00.000","066XX S ST LOUIS AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","0831","008","23","66","07","1154214","1860213","2024","2024-05-08T15:41:27.000","41.772246374","-87.710253492","
,  
(41.772246374, -87.710253492)"
"13445831","JH245419","2024-04-30T22:00:00.000","055XX S EVERETT AVE","1365","CRIMINAL TRESPASS","TO RESIDENCE","APARTMENT","false","false","0235","002","5","41","26","1188987","1868573","2024","2024-05-08T15:41:27.000","41.794424835","-87.582519409","
,  
(41.794424835, -87.582519409)"
"13446278","JH245762","2024-04-30T22:00:00.000","067XX S CHAPPEL AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","STREET","false","true","0331","003","5","43","08B","1191035","1860786","2024","2024-05-08T15:41:27.000","41.773007423","-87.575261338","
,  
(41.773007423, -87.575261338)"
"13446748","JH246011","2024-04-30T22:00:00.000","009XX S LAFLIN ST","0810","THEFT","OVER $500","STREET","false","false","1231","012","28","28","06","1166527","1895933","2024","2024-05-08T15:41:27.000","41.870012214","-87.664097619","
,  
(41.870012214, -87.664097619)"
"13446012","JH245551","2024-04-30T22:00:00.000","022XX S KEDZIE AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","1033","010","24","30","07","1155375","1888926","2024","2024-05-08T15:41:27.000","41.851015522","-87.705228282","
,  
(41.851015522, -87.705228282)"
"13445814","JH245381","2024-04-30T21:58:00.000","001XX S PULASKI RD","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","true","true","1122","011","28","26","08B","1149756","1898890","2024","2024-05-08T15:41:27.000","41.87846885","-87.725592492","
,  
(41.87846885, -87.725592492)"
"13445769","JH245377","2024-04-30T21:50:00.000","087XX S LAFLIN ST","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","2221","022","21","71","14","1167862","1846723","2024","2024-05-08T15:41:27.000","41.734945742","-87.660610444","
,  
(41.734945742, -87.660610444)"
"13445843","JH245384","2024-04-30T21:47:00.000","066XX S BLACKSTONE AVE","1365","CRIMINAL TRESPASS","TO RESIDENCE","SIDEWALK","true","false","0321","003","5","42","26","1187337","1861070","2024","2024-05-08T15:41:27.000","41.773875391","-87.588808048","
,  
(41.773875391, -87.588808048)"
"13450088","JH245398","2024-04-30T21:46:00.000","031XX W 64TH ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","0823","008","14","66","08B","1156356","1862019","2024","2024-05-08T15:41:27.000","41.777159455","-87.702352906","
,  
(41.777159455, -87.702352906)"
"13446223","JH245936","2024-04-30T21:45:00.000","044XX N MAGNOLIA AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","ALLEY","false","false","1913","019","46","3","14","1167112","1929672","2024","2024-05-08T15:41:27.000","41.962581499","-87.660978843","
,  
(41.962581499, -87.660978843)"
"13446889","JH245372","2024-04-30T21:45:00.000","089XX S PARNELL AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","false","true","2223","022","21","71","08B","1174199","1845689","2024","2024-05-08T15:41:27.000","41.73197004","-87.637425014","
,  
(41.73197004, -87.637425014)"
"13446519","JH246064","2024-04-30T21:40:00.000","076XX S EAST END AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","0414","004","8","43","08B","1188861","1854650","2024","2024-05-08T15:41:27.000","41.756222022","-87.583426639","
,  
(41.756222022, -87.583426639)"
"13445822","JH245402","2024-04-30T21:40:00.000","061XX S VERNON AVE","1365","CRIMINAL TRESPASS","TO RESIDENCE","APARTMENT","true","true","0313","003","20","42","26","1180307","1864332","2024","2024-05-08T15:41:27.000","41.782990756","-87.614478366","
,  
(41.782990756, -87.614478366)"
"13445786","JH245367","2024-04-30T21:37:00.000","025XX W 47TH ST","0430","BATTERY","AGGRAVATED - OTHER DANGEROUS WEAPON","CTA BUS","true","false","0922","009","15","58","04B","1160381","1873431","2024","2024-05-08T15:41:27.000","41.808393511","-87.687282822","
,  
(41.808393511, -87.687282822)"
"13447926","JH246981","2024-04-30T21:30:00.000","057XX S PRAIRIE AVE","0810","THEFT","OVER $500","APARTMENT","false","false","0232","002","20","40","06","1179020","1867030","2024","2024-05-08T15:41:27.000","41.790423758","-87.619114707","
,  
(41.790423758, -87.619114707)"
"13445893","JH245427","2024-04-30T21:30:00.000","090XX S ESCANABA AVE","0820","THEFT","$500 AND UNDER","APARTMENT","true","true","0423","004","10","46","06","1196962","1845518","2024","2024-05-08T15:41:27.000","41.730965503","-87.554041855","
,  
(41.730965503, -87.554041855)"
"13445835","JH245401","2024-04-30T21:30:00.000","059XX N SACRAMENTO AVE","0930","MOTOR VEHICLE THEFT","THEFT / RECOVERY - AUTOMOBILE","STREET","false","false","2011","020","50","2","07","1155282","1939315","2024","2024-05-08T15:41:27.000","41.989288897","-87.704212877","
,  
(41.989288897, -87.704212877)"
"13446132","JH245842","2024-04-30T21:30:00.000","065XX S NORMAL BLVD","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","0722","007","6","68","14","1174225","1861343","2024","2024-05-08T15:41:27.000","41.774925973","-87.636865533","
,  
(41.774925973, -87.636865533)"
